Title	Year	Director	Genre	Country	Rating
Ant-Man	2015	Peyton Reed	Action, Adventure, Comedy	USA	7.3
Big Hero 6	2014	Don Hall, Chris Williams	Animation, Action, Adventure	USA	7.8
Charlie's Angels	2000	McG	Action, Adventure, Comedy	USA, Germany	5.5
Close Encounters of the Third Kind	1977	Steven Spielberg	Drama, Sci-Fi	USA	7.7
Dune	1984	David Lynch	Action, Adventure, Sci-Fi	USA	6.6
The Fifth Element	1997	Luc Besson	Action, Adventure, Sci-Fi	France	7.7
Frankenstein	1931	James Whale	Drama, Horror, Sci-Fi	USA	7.9
Gandhi	1982	Richard Attenborough	Biography, Drama, History	UK, India, USA	8.1
The Godfather	1972	Francis Ford Coppola	Crime, Drama	USA	9.2
Green Lantern	2011	Martin Campbell	Action, Adventure, Sci-Fi	USA	5.6
Inside Out	2015	Pete Docter, Ronnie Del Carmen	Animation, Adventure, Comedy	USA	8.2
Kill Bill: Vol. 1	2003	Quentin Tarantino	Action, Crime, Thriller	USA	8.1
The Lord of the Rings	1978	Ralph Bakshi	Animation, Adventure, Fantasy	USA	6.2
M	1931	Fritz Lang	Crime, Drama, Mystery	Germany	8.4
Modern Times	1936	Charles Chaplin	Comedy, Drama, Family	USA	8.5
One Flew Over the Cuckoo's Nest	1975	Milos Forman	Drama	USA	8.7
Pixels	2015	Chris Columbus	Action, Comedy, Sci-Fi	USA, China, Canada	5.6
Rush	2013	Ron Howard	Action, Biography, Drama	UK, Germany, USA	8.1
Slumdog Millionaire	2008	Danny Boyle, Loveleen Tandan	Drama	UK, France, USA	8.0
Speed	1994	Jan de Bont	Action, Adventure, Crime	USA	7.2
Star Wars: The Force Awakens	2015	J.J. Abrams	Action, Adventure, Fantasy	USA	8.1
TRON	1982	Steven Lisberger	Action, Adventure, Sci-Fi	USA	6.8
Pink Floyd: The Wall	1982	Alan Parker	Animation, Drama, Fantasy	UK	8.0
2001: A Space Odyssey	1968	Stanley Kubrick	Adventure, Sci-Fi	UK, USA	8.3
