Title	Year	Director	Genre	Country	Rating
Titanic	1997	James Cameron	Drama, Romance	USA	7.7
The Iron Giant	1999	Brad Bird	Animation, Action, Adventure	USA	8.0
Ice Age	2002	Chris Wedge, Carlos Saldanha	Animation, Adventure, Comedy	USA	7.6
The A-Team	2010	Joe Carnahan	Action, Adventure, Comedy	USA	6.8
Suicide Squad	2016	David Ayer	Action, Adventure, Fantasy	USA	6.3
The Shining	1980	Stanley Kubrick	Drama, Horror	UK, USA	8.4
My Neighbor Totoro	1988	Hayao Miyazaki	Animation, Family, Fantasy	Japan	8.2
American Beauty	1999	Sam Mendes	Drama, Romance	USA	8.4
Spider-Man	2002	Sam Raimi	Action, Adventure	USA	7.3
Stargate	1994	Roland Emmerich	Action, Adventure, Sci-Fi	France, USA	7.1
The Black Hole	1979	Gary Nelson	Action, Sci-Fi	USA	5.9
The Day the Earth Stood Still	1951	Robert Wise	Drama, Sci-Fi	USA	7.8
Zorro	1975	Duccio Tessari	Action, Adventure, Comedy	Italy, France	6.6
Thor	2011	Kenneth Branagh	Action, Adventure, Fantasy	USA	7.0
E.T. the Extra-Terrestrial	1982	Steven Spielberg	Family, Sci-Fi	USA	7.9
The Little Prince	2015	Mark Osborne	Animation, Adventure, Drama	France	7.8
Escape from New York	1981	John Carpenter	Action, Sci-Fi	UK, USA	7.2
Psycho	1960	Alfred Hitchcock	Horror, Mystery, Thriller	USA	8.5
Signs	2002	M. Night Shyamalan	Drama, Mystery, Sci-Fi	USA	6.7
The Birds	1963	Alfred Hitchcock	Drama, Horror, Mystery	USA	7.7
Wonder Woman	2017	Patty Jenkins	Action, Adventure, Fantasy	USA	N/A
The Ninth Gate	1999	Roman Polanski	Mystery, Thriller	Spain, France, USA	6.7
Entrapment	1999	Jon Amiel	Action, Crime, Romance	USA, UK, Germany	6.2
Men in Black	1997	Barry Sonnenfeld	Adventure, Comedy, Family	USA	7.3
Gandhi	1982	Richard Attenborough	Biography, Drama, History	UK, India, USA	8.1
M	1931	Fritz Lang	Crime, Drama, Mystery	Germany	8.4
Green Lantern	2011	Martin Campbell	Action, Adventure, Sci-Fi	USA	5.6
2001: A Space Odyssey	1968	Stanley Kubrick	Adventure, Sci-Fi	UK, USA	8.3
The Lord of the Rings	1978	Ralph Bakshi	Animation, Adventure, Fantasy	USA	6.2
Ant-Man	2015	Peyton Reed	Action, Adventure, Comedy	USA	7.3
The Fifth Element	1997	Luc Besson	Action, Adventure, Sci-Fi	France	7.7
Slumdog Millionaire	2008	Danny Boyle, Loveleen Tandan	Drama	UK, France, USA	8.0
Rush	2013	Ron Howard	Action, Biography, Drama	UK, Germany, USA	8.1
TRON	1982	Steven Lisberger	Action, Adventure, Sci-Fi	USA	6.8
Pink Floyd: The Wall	1982	Alan Parker	Animation, Drama, Fantasy	UK	8.0
Pixels	2015	Chris Columbus	Action, Comedy, Sci-Fi	USA, China, Canada	5.6
Frankenstein	1931	James Whale	Drama, Horror, Sci-Fi	USA	7.9
Speed	1994	Jan de Bont	Action, Adventure, Crime	USA	7.2
One Flew Over the Cuckoo's Nest	1975	Milos Forman	Drama	USA	8.7
Big Hero 6	2014	Don Hall, Chris Williams	Animation, Action, Adventure	USA	7.8
Modern Times	1936	Charles Chaplin	Comedy, Drama, Family	USA	8.5
Close Encounters of the Third Kind	1977	Steven Spielberg	Drama, Sci-Fi	USA	7.7
The Godfather	1972	Francis Ford Coppola	Crime, Drama	USA	9.2
Inside Out	2015	Pete Docter, Ronnie Del Carmen	Animation, Adventure, Comedy	USA	8.2
Dune	1984	David Lynch	Action, Adventure, Sci-Fi	USA	6.6
Kill Bill: Vol. 1	2003	Quentin Tarantino	Action, Crime, Thriller	USA	8.1
Star Wars: The Force Awakens	2015	J.J. Abrams	Action, Adventure, Fantasy	USA	8.1
Charlie's Angels	2000	McG	Action, Adventure, Comedy	USA, Germany	5.5
The NeverEnding Story	1984	Wolfgang Petersen	Adventure, Drama, Family	West Germany, USA	7.4
The Emperor's New Groove	2000	Mark Dindal	Animation, Adventure, Comedy	USA	7.3
Poltergeist	1982	Tobe Hooper	Horror, Thriller	USA	7.4
Black Rain	1989	Ridley Scott	Action, Crime, Thriller	USA	6.7
Toy Story	1995	John Lasseter	Animation, Adventure, Comedy, Family, Fantasy	USA	8.3
The Ring	2002	Gore Verbinski	Horror, Mystery	USA	7.1
Back to the Future	1985	Robert Zemeckis	Adventure, Comedy, Sci-Fi	USA	8.5
The Exorcist	1973	William Friedkin	Horror	USA	8.0
Moana	2016	Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)	Animation, Adventure, Comedy	USA	7.6
The Incredibles	2004	Brad Bird	Animation, Action, Adventure, Family	USA	8.0
V for Vendetta	2005	James McTeigue	Action, Drama, Sci-Fi	USA, UK, Germany	8.2
Ready Player One	2018	Steven Spielberg	Action, Adventure, Sci-Fi	USA, India	7.5
Singin' in the Rain	1952	Stanley Donen, Gene Kelly	Comedy, Musical, Romance	USA	8.3
The Great Dictator	1940	Charles Chaplin	Comedy, Drama, War	USA	8.4
Star Trek: The Motion Picture	1979	Robert Wise	Adventure, Mystery, Sci-Fi	USA	6.4
